country,year,iso_code,population,gdp_x,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,rank,area,landAreaKm,cca2,cca3,netChange,growthRate,worldPercentage,density,densityMi,place,pop1980,pop2000,pop2010,pop2022,pop2023,pop2030,pop2050,region_id,gdp_y,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
Argentina,2011,ARG,41520736.0,835970465792.0,46.423,2.75,208.889,8.673,32.273,1.34,1.092,0.954,384.114,8.511,1.147,352.081,14.619,65.991,2.74,38.461,0.164,14.24,0.591,2.232,1.608,132.42,122.75,13.502,2.842,25.122,21894.867,1.087,4.089,31.146,2033.442,84.43,19097.164,792.928,68.782,87.222,4.164,17.524,438.398,1537.063,63.82,10558.529,-3.28,-12.792,9084.098,377.178,51.992,48.224,47.15,-6.514,-6.559,86.034,747.337,31.03,2072.072,25.279,9.464,-0.456,-6.025,116.163,922.912,38.32,2797.702,31.218,12.778,9.67,7.303,-11.234,-2.261,16.942,141.857,5.89,408.038,4.798,1.864,3.81,12.476,339.912,430.387,17.87,8186.556,-6.29,-24.344,8735.045,362.685,14.558,37.39,4.436,1.34,0.0,0.882,0.039,32.273,0.0,106.829,1.092,0.0,0.488,2956.354,909.091,1.454,-3.763,99.221,781.056,32.43,2389.665,26.42,10.914,1779.148,0.004,0.004,0.0,0.0,0.107,0.0,0.0,4.887,0.003,0.073,1.445,0.06,1.767,0.049,0.008,33,2780400.0,2736690.0,AR,ARG,0.0091,0.0058,0.0057,16.726,43.3203,32,28024803,37070774,41100123,45510318,45773884,47678560,51621175,LCN,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,,Yes,Yes,,42981516,,,291700.0,310044.0,,,17910550.0,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6.0,62.5,,,Other
Argentina,2012,ARG,41952364.0,827404779520.0,19.876,1.724,247.831,10.397,33.133,1.39,1.08,1.102,393.97,-6.495,-0.949,325.826,13.669,59.115,2.48,5.556,0.033,14.877,0.624,1.927,1.448,136.3,128.69,13.637,3.808,34.615,22494.715,1.141,4.779,37.894,2189.626,91.86,19803.955,830.823,71.381,88.038,4.162,18.244,456.642,1701.454,71.38,10884.775,-2.722,-10.266,8745.92,366.912,55.467,48.388,50.7,-6.485,-6.067,79.967,684.348,28.71,1906.136,22.309,8.474,0.245,-3.279,112.884,877.901,36.83,2690.76,28.619,11.962,7.61,5.583,0.031,-0.097,16.845,140.636,5.9,401.518,4.585,1.785,6.06,20.6,360.511,429.058,18.0,8593.353,-1.105,-4.008,8549.646,358.678,13.987,38.202,4.639,1.39,0.0,4.576,0.203,33.133,0.0,110.568,1.08,0.0,0.492,3067.527,943.706,0.278,-3.181,96.039,737.265,30.93,2289.243,24.035,10.177,406.38,0.018,0.022,0.238,0.01,0.534,0.008,0.002,1290.953,0.941,1.014,19.546,0.82,24.174,0.637,0.107,33,2780400.0,2736690.0,AR,ARG,0.0091,0.0058,0.0057,16.726,43.3203,32,28024803,37070774,41100123,45510318,45773884,47678560,51621175,LCN,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,,Yes,Yes,,42981516,,,291700.0,310044.0,,,17910550.0,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6.0,62.5,,,Other
Argentina,2013,ARG,42388268.0,847305113600.0,14.478,1.505,280.795,11.902,35.387,1.5,1.134,1.213,384.703,9.292,1.27,352.44,14.939,52.609,2.23,-12.632,-0.079,12.864,0.545,1.685,1.522,140.11,132.31,13.482,3.994,37.692,23152.588,1.158,3.247,26.973,2159.796,91.55,20236.637,857.796,69.194,87.406,0.796,3.635,460.277,1647.39,69.83,10858.592,-5.82,-21.354,8152.22,345.559,52.778,46.9,50.9,12.368,9.349,89.316,766.957,32.51,2107.085,24.571,9.101,10.632,10.718,123.602,961.587,40.76,2915.951,30.806,12.594,7.8,5.567,-3.046,-0.611,16.233,135.179,5.73,382.964,4.331,1.654,6.121,22.068,382.58,459.797,19.49,9025.606,-2.123,-7.615,8282.069,351.063,14.731,38.983,4.874,1.5,0.0,5.079,0.236,35.387,0.0,114.989,1.134,0.0,0.497,3121.383,981.398,12.747,11.33,107.369,826.408,35.03,2532.988,26.476,10.94,84.438,0.019,0.041,0.236,0.01,0.969,0.008,0.004,22.574,0.221,1.236,23.827,1.01,29.149,0.763,0.126,33,2780400.0,2736690.0,AR,ARG,0.0091,0.0058,0.0057,16.726,43.3203,32,28024803,37070774,41100123,45510318,45773884,47678560,51621175,LCN,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,,Yes,Yes,,42981516,,,291700.0,310044.0,,,17910550.0,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6.0,62.5,,,Other
Argentina,2014,ARG,42824064.0,825981468672.0,16.71,1.989,324.379,13.891,32.692,1.4,1.062,1.418,386.238,6.375,0.952,371.093,15.892,56.043,2.4,-31.325,-0.171,8.744,0.374,1.821,1.622,141.67,131.81,13.452,-0.157,-1.54,22881.006,1.186,-0.051,-0.439,2152.528,92.18,20020.451,857.357,69.934,87.498,0.277,1.273,461.55,1676.628,71.8,10777.813,-0.202,-0.7,8052.921,344.859,54.472,47.104,50.91,-1.082,-1.496,87.82,754.949,32.33,2050.716,24.528,8.963,2.012,-1.102,122.501,925.414,39.63,2860.555,30.066,12.502,9.86,6.96,-11.165,-1.899,14.334,122.828,5.26,334.728,3.991,1.463,-0.696,-2.664,379.916,419.857,17.98,8871.545,-1.324,-4.648,8089.254,346.415,13.641,38.773,4.733,1.4,0.0,-2.887,-0.141,32.692,0.0,110.533,1.062,0.0,0.483,3077.942,979.858,3.765,0.797,108.166,802.586,34.37,2525.827,26.075,11.039,5.771,0.002,0.043,0.467,0.02,1.009,0.015,0.004,36.646,0.443,1.678,14.478,0.62,39.19,0.47,0.171,33,2780400.0,2736690.0,AR,ARG,0.0091,0.0058,0.0057,16.726,43.3203,32,28024803,37070774,41100123,45510318,45773884,47678560,51621175,LCN,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,,Yes,Yes,,42981516,,,291700.0,310044.0,,,17910550.0,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6.0,62.5,,,Other
Argentina,2015,ARG,43257064.0,847854960640.0,8.925,1.24,349.792,15.131,33.058,1.43,1.038,1.518,391.03,-0.488,-0.078,365.585,15.814,51.783,2.24,-40.351,-0.151,5.164,0.223,1.626,1.586,146.75,137.79,13.821,1.743,17.082,23046.873,1.176,1.492,12.793,2246.57,97.18,20115.785,870.15,70.528,87.282,1.078,4.976,466.526,1717.87,74.31,10784.959,2.915,10.053,8204.705,354.911,53.93,46.796,53.88,-0.244,-0.736,87.084,738.377,31.94,2013.172,23.18,8.735,4.936,4.29,126.79,938.806,40.61,2931.087,29.472,12.718,8.96,6.106,27.657,3.856,18.19,153.501,6.64,420.508,4.819,1.825,2.078,7.894,387.81,476.916,20.63,8965.241,0.871,3.017,8078.019,349.431,14.972,38.9,4.748,1.43,0.0,0.307,0.015,33.058,0.0,109.762,1.038,0.0,0.476,3185.376,996.94,2.349,0.434,108.6,785.305,33.97,2510.579,24.653,10.893,-7.909,-0.004,0.04,0.231,0.01,0.914,0.007,0.004,-4.222,-0.08,1.598,13.639,0.59,36.938,0.428,0.16,33,2780400.0,2736690.0,AR,ARG,0.0091,0.0058,0.0057,16.726,43.3203,32,28024803,37070774,41100123,45510318,45773884,47678560,51621175,LCN,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,,Yes,Yes,,42981516,,,291700.0,310044.0,,,17910550.0,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6.0,62.5,,,Other
Argentina,2016,ARG,43668236.0,828372942848.0,5.989,0.906,367.251,16.037,24.503,1.07,0.766,1.616,394.944,-22.926,-3.625,279.119,12.189,41.678,1.82,-25.562,-0.057,3.808,0.166,1.303,1.228,149.16,139.64,14.071,-0.453,-4.516,22726.455,1.198,0.005,0.044,2308.314,100.8,19927.385,870.194,72.186,87.684,3.338,15.574,482.1,1819.4,79.45,11040.063,5.047,17.912,8537.638,372.824,56.896,48.578,55.15,-7.993,-7.435,79.649,673.258,29.4,1823.965,21.054,8.026,-1.394,-4.56,122.23,889.434,38.84,2799.07,27.814,12.316,9.52,6.382,17.701,3.093,21.283,179.078,7.82,487.382,5.6,2.145,-3.07,-11.905,375.905,447.236,19.53,8608.202,-4.709,-16.455,7625.134,332.976,13.986,37.877,3.757,1.07,0.0,-20.866,-0.991,24.503,0.0,86.042,0.766,0.0,0.379,3197.748,992.424,-4.106,-7.653,100.947,710.356,31.02,2311.688,22.214,10.172,-2.792,-0.001,0.038,0.229,0.01,0.875,0.007,0.004,-7.749,-0.133,1.465,12.366,0.54,33.555,0.387,0.148,33,2780400.0,2736690.0,AR,ARG,0.0091,0.0058,0.0057,16.726,43.3203,32,28024803,37070774,41100123,45510318,45773884,47678560,51621175,LCN,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,Yes,,Yes,Yes,,42981516,,,291700.0,310044.0,,,17910550.0,,,,,,,89.91,,,,94.82,,,,8.9,,,22.6,,6.0,62.5,,,Other
Brazil,2013,BRA,201721776.0,3112905998336.0,16.904,24.974,856.203,172.715,194.674,39.27,6.969,4.972,152.159,7.788,13.847,950.055,191.647,106.037,21.39,24.205,8.217,209.026,42.165,3.796,5.517,603.82,563.49,16.22,2.406,81.619,17221.439,1.116,5.733,110.961,555.22,112.0,10145.048,2046.477,19.876,58.909,17.823,58.062,383.828,327.877,66.14,1902.758,10.673,21.167,1088.112,219.496,11.738,11.049,85.74,-5.863,-73.225,1065.617,1938.264,390.99,5282.605,69.387,30.675,1.092,-29.342,1427.462,2238.182,451.49,7076.392,80.124,41.091,40.33,6.679,-3.671,-1.794,40.406,72.625,14.65,200.303,2.6,1.163,2.727,39.052,1471.003,121.306,24.47,7292.235,-1.97,-25.745,6350.717,1281.078,4.343,42.344,130.79,39.27,0.0,14.556,16.619,194.674,0.0,648.371,6.969,0.0,3.765,2793.402,3473.939,1.219,-27.548,1387.057,2165.557,436.84,6876.089,77.524,39.927,196.796,0.009,0.013,0.0,0.0,0.065,0.0,0.0,30.215,4.075,17.922,32.619,6.58,88.845,1.168,0.516,7,8515767.0,8358140.0,BR,BRA,0.0393,0.0052,0.027,25.8936,67.0645,76,122288383,175873720,196353492,215313498,216422446,223908968,230885725,LCN,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,,,,Yes,Yes,Yes,Yes,,208494896,,45158165.0,1411900.0,,,260063.0,79069584.0,,,,,,,91.3,90.81,,,,,,0.2,21.88521,,,15.61932,,1.4,53.30547,7.59,,
Brazil,2014,BRA,203459648.0,3128572510208.0,9.678,16.715,931.044,189.43,221.911,45.15,7.76,5.314,175.403,6.326,12.123,1001.524,203.77,128.625,26.17,-0.802,-0.338,205.578,41.827,4.498,5.717,615.64,581.86,16.324,2.604,90.479,17519.043,1.139,4.566,93.441,671.288,136.58,10517.655,2139.918,23.473,60.036,5.921,22.727,406.555,382.14,77.75,1998.208,6.37,13.981,1147.533,233.477,13.362,11.406,102.06,-4.489,-53.934,1011.683,1835.45,373.44,4972.401,64.18,28.383,1.73,-2.962,1424.5,2188.542,445.28,7001.388,76.527,39.964,33.78,5.487,-0.461,-0.427,39.978,71.071,14.46,196.493,2.485,1.122,3.983,58.591,1529.594,160.523,32.66,7517.923,11.168,143.07,6999.657,1424.148,5.613,42.913,150.286,45.15,0.0,14.906,19.496,221.911,0.0,738.654,7.76,0.0,4.216,2859.83,3564.418,1.786,-2.535,1384.521,2117.471,430.82,6804.895,74.042,38.843,235.485,0.031,0.044,0.098,0.02,0.214,0.003,0.001,85.683,15.157,33.079,60.012,12.21,162.581,2.098,0.928,7,8515767.0,8358140.0,BR,BRA,0.0393,0.0052,0.027,25.8936,67.0645,76,122288383,175873720,196353492,215313498,216422446,223908968,230885725,LCN,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,,,,Yes,Yes,Yes,Yes,,208494896,,45158165.0,1411900.0,,,260063.0,79069584.0,,,,,,,91.3,90.81,,,,,,0.2,21.88521,,,15.61932,,1.4,53.30547,7.59,,
Brazil,2015,BRA,205188208.0,3270706200576.0,16.967,32.141,1079.843,221.571,231.69,47.54,8.317,6.3,170.39,0.594,1.211,998.99,204.981,127.298,26.12,-19.19,-8.026,164.729,33.8,4.57,5.828,605.99,571.57,16.252,-1.332,-47.461,17140.15,1.075,-3.225,-69.01,627.96,128.85,10092.728,2070.909,22.543,58.884,5.611,22.811,429.365,369.222,75.76,2092.544,1.957,4.568,1160.13,238.045,13.255,12.208,97.39,-3.668,-42.906,968.777,1753.22,359.74,4721.409,62.939,27.546,4.715,21.548,1446.048,2157.629,442.72,7047.424,77.457,41.116,34.42,5.68,-4.19,-1.903,38.075,67.791,13.91,185.564,2.434,1.083,-6.082,-93.032,1436.562,131.44,26.97,7001.193,7.953,113.255,7492.649,1537.403,4.719,40.847,159.228,47.54,0.0,5.95,8.942,231.69,0.0,776.01,8.317,0.0,4.527,2785.589,3516.957,4.935,23.451,1407.973,2089.837,428.81,6861.86,75.023,40.034,266.361,0.115,0.159,0.292,0.06,0.773,0.01,0.005,77.111,25.159,58.237,104.636,21.47,283.824,3.756,1.656,7,8515767.0,8358140.0,BR,BRA,0.0393,0.0052,0.027,25.8936,67.0645,76,122288383,175873720,196353492,215313498,216422446,223908968,230885725,LCN,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,,,,Yes,Yes,Yes,Yes,,208494896,,45158165.0,1411900.0,,,260063.0,79069584.0,,,,,,,91.3,90.81,,,,,,0.2,21.88521,,,15.61932,,1.4,53.30547,7.59,,
Brazil,2016,BRA,206859584.0,2889037381632.0,-9.0,-19.942,974.715,201.629,237.552,49.14,8.6,5.875,136.122,-9.675,-19.831,895.05,185.15,120.903,25.01,-7.848,-2.653,150.574,31.148,4.377,5.395,612.19,571.4,16.648,-2.411,-84.791,16591.764,1.188,-7.465,-154.589,449.87,93.06,9263.867,1916.32,16.286,55.834,-13.622,-58.487,370.879,261.385,54.07,1792.901,1.34,3.191,1166.181,241.236,9.463,10.806,77.78,5.884,50.935,1019.713,1841.394,380.91,4929.493,66.663,29.71,2.352,69.797,1515.846,2312.39,478.34,7327.897,83.714,44.166,40.79,6.663,7.671,2.678,40.754,72.368,14.97,197.01,2.62,1.187,-5.309,-76.271,1360.291,67.582,13.98,6575.916,3.415,52.5,7685.905,1589.903,2.447,39.634,163.871,49.14,0.0,2.916,4.643,237.552,0.0,792.184,8.6,0.0,4.775,2762.26,3432.166,2.232,67.119,1475.092,2240.022,463.37,7130.886,81.094,42.978,44.712,0.07,0.228,0.387,0.08,1.103,0.014,0.007,54.857,31.414,89.651,160.689,33.24,433.39,5.817,2.612,7,8515767.0,8358140.0,BR,BRA,0.0393,0.0052,0.027,25.8936,67.0645,76,122288383,175873720,196353492,215313498,216422446,223908968,230885725,LCN,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,,,,Yes,Yes,Yes,Yes,,208494896,,45158165.0,1411900.0,,,260063.0,79069584.0,,,,,,,91.3,90.81,,,,,,0.2,21.88521,,,15.61932,,1.4,53.30547,7.59,,
